slug,num,name_en,name_ja,type1,type2,hp,atk,def,spa,spd,spe,ability0_slug,ability1_slug,abilityH_slug,weight_kg,height_m,category,form_type,base_form_slug,fixed_item,fixed_tera_type,gender_rate,sprite_url,nfe,include
goomy,704,Goomy,ヌメラ,Dragon,,45,50,35,55,75,40,sap-sipper,hydration,gooey,2.8,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/704.png,true,○
sliggoo,705,Sliggoo,ヌメイル,Dragon,,68,75,53,83,113,60,sap-sipper,hydration,gooey,17.5,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/705.png,true,○
sliggoo-hisui,705,Sliggoo-Hisui,ヌメイル（ヒスイのすがた）,Steel,Dragon,58,75,83,83,113,40,sap-sipper,shell-armor,gooey,68.5,0.7,normal,variant,sliggoo,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10241.png,true,○
goodra,706,Goodra,ヌメルゴン,Dragon,,90,100,70,110,150,80,sap-sipper,hydration,gooey,150.5,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/706.png,false,○
goodra-hisui,706,Goodra-Hisui,ヌメルゴン（ヒスイのすがた）,Steel,Dragon,80,100,100,110,150,60,sap-sipper,shell-armor,gooey,334.1,1.7,normal,variant,goodra,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10242.png,false,○
klefki,707,Klefki,クレッフィ,Steel,Fairy,57,80,91,80,87,75,prankster,,magician,3,0.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/707.png,false,○
phantump,708,Phantump,ボクレー,Ghost,Grass,43,70,48,50,60,38,natural-cure,frisk,harvest,7,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/708.png,true,○
trevenant,709,Trevenant,オーロット,Ghost,Grass,85,110,76,65,82,56,natural-cure,frisk,harvest,71,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/709.png,false,○
bergmite,712,Bergmite,カチコール,Ice,,55,69,85,32,35,28,own-tempo,ice-body,sturdy,99.5,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/712.png,true,○
avalugg,713,Avalugg,クレベース,Ice,,95,117,184,44,46,28,own-tempo,ice-body,sturdy,505,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/713.png,false,○
avalugg-hisui,713,Avalugg-Hisui,クレベース（ヒスイのすがた）,Ice,Rock,95,127,184,34,36,38,strong-jaw,ice-body,sturdy,262.4,1.4,normal,variant,avalugg,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10243.png,false,○
noibat,714,Noibat,オンバット,Flying,Dragon,40,30,35,45,40,55,frisk,infiltrator,telepathy,8,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/714.png,true,○
noivern,715,Noivern,オンバーン,Flying,Dragon,85,70,80,97,80,123,frisk,infiltrator,telepathy,85,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/715.png,false,○
diancie,719,Diancie,ディアンシー,Rock,Fairy,50,100,150,100,150,50,clear-body,,,8.8,0.7,mythical,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/719.png,false,○
diancie-mega,719,Diancie-Mega,メガディアンシー,Rock,Fairy,50,160,110,160,110,110,magic-bounce,,,27.8,1.1,mythical,mega,diancie,diancite,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10075.png,false,○
hoopa,720,Hoopa,フーパ,Psychic,Ghost,80,110,60,150,130,70,magician,,,9,0.5,mythical,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/720.png,false,○
hoopa-unbound,720,Hoopa-Unbound,フーパ（ときはなたれしフーパ）,Psychic,Dark,80,160,60,170,130,80,magician,,,490,6.5,mythical,variant,hoopa,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10086.png,false,○
volcanion,721,Volcanion,ボルケニオン,Fire,Water,80,110,120,130,90,70,water-absorb,,,195,1.7,mythical,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/721.png,false,○
rowlet,722,Rowlet,モクロー,Grass,Flying,68,55,55,50,50,42,overgrow,,long-reach,1.5,0.3,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/722.png,true,○
dartrix,723,Dartrix,フクスロー,Grass,Flying,78,75,75,70,70,52,overgrow,,long-reach,16,0.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/723.png,true,○
decidueye,724,Decidueye,ジュナイパー,Grass,Ghost,78,107,75,100,100,70,overgrow,,long-reach,36.6,1.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/724.png,false,○
decidueye-hisui,724,Decidueye-Hisui,ジュナイパー（ヒスイのすがた）,Grass,Fighting,88,112,80,95,95,60,overgrow,,scrappy,37,1.6,normal,variant,decidueye,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10244.png,false,○
litten,725,Litten,ニャビー,Fire,,45,65,40,60,40,70,blaze,,intimidate,4.3,0.4,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/725.png,true,○
torracat,726,Torracat,ニャヒート,Fire,,65,85,50,80,50,90,blaze,,intimidate,25,0.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/726.png,true,○
incineroar,727,Incineroar,ガオガエン,Fire,Dark,95,115,90,80,90,60,blaze,,intimidate,83,1.8,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/727.png,false,○
popplio,728,Popplio,アシマリ,Water,,50,54,54,66,56,40,torrent,,liquid-voice,7.5,0.4,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/728.png,true,○
brionne,729,Brionne,オシャマリ,Water,,60,69,69,91,81,50,torrent,,liquid-voice,17.5,0.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/729.png,true,○
primarina,730,Primarina,アシレーヌ,Water,Fairy,80,74,74,126,116,60,torrent,,liquid-voice,44,1.8,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/730.png,false,○
pikipek,731,Pikipek,ツツケラ,Normal,Flying,35,75,30,30,30,65,keen-eye,skill-link,pickup,1.2,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/731.png,true,○
trumbeak,732,Trumbeak,ケララッパ,Normal,Flying,55,85,50,40,50,75,keen-eye,skill-link,pickup,14.8,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/732.png,true,○
toucannon,733,Toucannon,ドデカバシ,Normal,Flying,80,120,75,75,75,60,keen-eye,skill-link,sheer-force,26,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/733.png,false,○
yungoos,734,Yungoos,ヤングース,Normal,,48,70,30,30,30,45,stakeout,strong-jaw,adaptability,6,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/734.png,true,○
gumshoos,735,Gumshoos,デカグース,Normal,,88,110,60,55,60,45,stakeout,strong-jaw,adaptability,14.2,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/735.png,false,○
grubbin,736,Grubbin,アゴジムシ,Bug,,47,62,45,55,45,46,swarm,,,4.4,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/736.png,true,○
charjabug,737,Charjabug,デンヂムシ,Bug,Electric,57,82,95,55,75,36,battery,,,10.5,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/737.png,true,○
vikavolt,738,Vikavolt,クワガノン,Bug,Electric,77,70,90,145,75,43,levitate,,,45,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/738.png,false,○
crabrawler,739,Crabrawler,マケンカニ,Fighting,,47,82,57,42,47,63,hyper-cutter,iron-fist,anger-point,7,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/739.png,true,○
crabominable,740,Crabominable,ケケンカニ,Fighting,Ice,97,132,77,62,67,43,hyper-cutter,iron-fist,anger-point,180,1.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/740.png,false,○
oricorio,741,Oricorio,オドリドリ,Fire,Flying,75,70,70,98,70,93,dancer,,,3.4,0.6,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/741.png,false,○
oricorio-pau,741,Oricorio-Pa'u,オドリドリ（ふらふらスタイル）,Psychic,Flying,75,70,70,98,70,93,dancer,,,3.4,0.6,normal,variant,oricorio,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10124.png,false,○
oricorio-pom-pom,741,Oricorio-Pom-Pom,オドリドリ（ぱちぱちスタイル）,Electric,Flying,75,70,70,98,70,93,dancer,,,3.4,0.6,normal,variant,oricorio,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10123.png,false,○
oricorio-sensu,741,Oricorio-Sensu,オドリドリ（まいまいスタイル）,Ghost,Flying,75,70,70,98,70,93,dancer,,,3.4,0.6,normal,variant,oricorio,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10125.png,false,○
cutiefly,742,Cutiefly,アブリー,Bug,Fairy,40,45,40,55,40,84,honey-gather,shield-dust,sweet-veil,0.2,0.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/742.png,true,○
ribombee,743,Ribombee,アブリボン,Bug,Fairy,60,55,60,95,70,124,honey-gather,shield-dust,sweet-veil,0.5,0.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/743.png,false,○
rockruff,744,Rockruff,イワンコ,Rock,,45,65,40,30,40,60,keen-eye,vital-spirit,steadfast,9.2,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/744.png,true,○
rockruff-dusk,744,Rockruff-Dusk,イワンコ（たそがれのすがた）,Rock,,45,65,40,30,40,60,own-tempo,,,9.2,0.5,normal,variant,rockruff,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10151.png,false,○
lycanroc,745,Lycanroc,ルガルガン,Rock,,75,115,65,55,65,112,keen-eye,sand-rush,steadfast,25,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/745.png,false,○
lycanroc-dusk,745,Lycanroc-Dusk,ルガルガン（たそがれのすがた）,Rock,,75,117,65,55,65,110,tough-claws,,,25,0.8,normal,variant,lycanroc,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10152.png,false,○
lycanroc-midnight,745,Lycanroc-Midnight,ルガルガン（まよなかのすがた）,Rock,,85,115,75,55,75,82,keen-eye,vital-spirit,no-guard,25,1.1,normal,variant,lycanroc,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10126.png,false,○
mareanie,747,Mareanie,ヒドイデ,Poison,Water,50,53,62,43,52,45,merciless,limber,regenerator,8,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/747.png,true,○
toxapex,748,Toxapex,ドヒドイデ,Poison,Water,50,63,152,53,142,35,merciless,limber,regenerator,14.5,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/748.png,false,○
mudbray,749,Mudbray,ドロバンコ,Ground,,70,100,70,45,55,45,own-tempo,stamina,inner-focus,110,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/749.png,true,○
mudsdale,750,Mudsdale,バンバドロ,Ground,,100,125,100,55,85,35,own-tempo,stamina,inner-focus,920,2.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/750.png,false,○
dewpider,751,Dewpider,シズクモ,Water,Bug,38,40,52,40,72,27,water-bubble,,water-absorb,4,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/751.png,true,○
araquanid,752,Araquanid,オニシズクモ,Water,Bug,68,70,92,50,132,42,water-bubble,,water-absorb,82,1.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/752.png,false,○
fomantis,753,Fomantis,カリキリ,Grass,,40,55,35,50,35,35,leaf-guard,,contrary,1.5,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/753.png,true,○
lurantis,754,Lurantis,ラランテス,Grass,,70,105,90,80,90,45,leaf-guard,,contrary,18.5,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/754.png,false,○
salandit,757,Salandit,ヤトウモリ,Poison,Fire,48,44,40,71,40,77,corrosion,,oblivious,4.8,0.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/757.png,true,○
salazzle,758,Salazzle,エンニュート,Poison,Fire,68,64,60,111,60,117,corrosion,,oblivious,22.2,1.2,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/758.png,false,○
bounsweet,761,Bounsweet,アマカジ,Grass,,42,30,38,30,38,32,leaf-guard,oblivious,sweet-veil,3.2,0.3,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/761.png,true,○
steenee,762,Steenee,アママイコ,Grass,,52,40,48,40,48,62,leaf-guard,oblivious,sweet-veil,8.2,0.7,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/762.png,true,○
tsareena,763,Tsareena,アマージョ,Grass,,72,120,98,50,98,72,leaf-guard,queenly-majesty,sweet-veil,21.4,1.2,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/763.png,false,○
comfey,764,Comfey,キュワワー,Fairy,,51,52,90,82,110,100,flower-veil,triage,natural-cure,0.3,0.1,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/764.png,false,○
oranguru,765,Oranguru,ヤレユータン,Normal,Psychic,90,60,80,90,110,60,inner-focus,telepathy,symbiosis,76,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/765.png,false,○
passimian,766,Passimian,ナゲツケサル,Fighting,,100,120,90,40,60,80,receiver,,defiant,82.8,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/766.png,false,○
sandygast,769,Sandygast,スナバァ,Ghost,Ground,55,55,80,70,45,15,water-compaction,,sand-veil,70,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/769.png,true,○
palossand,770,Palossand,シロデスナ,Ghost,Ground,85,75,110,100,75,35,water-compaction,,sand-veil,250,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/770.png,false,○
minior,774,Minior,メテノ,Rock,Flying,60,100,60,100,60,120,shields-down,,,0.3,0.3,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/774.png,false,○
minior-meteor,774,Minior-Meteor,メテノ（りゅうせいのすがた）,Rock,Flying,60,60,100,60,100,60,shields-down,,,40,0.3,normal,battle_only,minior,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/774.png,false,○
komala,775,Komala,ネッコアラ,Normal,,65,115,65,75,95,65,comatose,,,19.9,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/775.png,false,○
mimikyu,778,Mimikyu,ミミッキュ,Ghost,Fairy,55,90,80,50,105,96,disguise,,,0.7,0.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/778.png,false,○
bruxish,779,Bruxish,ハギギシリ,Water,Psychic,68,105,70,70,70,92,dazzling,strong-jaw,wonder-skin,19,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/779.png,false,○
jangmo-o,782,Jangmo-o,ジャラコ,Dragon,,45,55,65,45,45,45,bulletproof,soundproof,overcoat,29.7,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/782.png,false,○
hakamo-o,783,Hakamo-o,ジャランゴ,Dragon,Fighting,55,75,90,65,70,65,bulletproof,soundproof,overcoat,47,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/783.png,false,○
kommo-o,784,Kommo-o,ジャラランガ,Dragon,Fighting,75,110,125,100,105,85,bulletproof,soundproof,overcoat,78.2,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/784.png,false,○
cosmog,789,Cosmog,コスモッグ,Psychic,,43,29,31,29,31,37,unaware,,,0.1,0.2,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/789.png,true,○
cosmoem,790,Cosmoem,コスモウム,Psychic,,43,29,131,29,131,37,sturdy,,,999.9,0.1,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/790.png,true,○
solgaleo,791,Solgaleo,ソルガレオ,Psychic,Steel,137,137,107,113,89,97,full-metal-body,,,230,3.4,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/791.png,false,○
lunala,792,Lunala,ルナアーラ,Psychic,Ghost,137,113,89,137,107,97,shadow-shield,,,120,4,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/792.png,false,○
necrozma,800,Necrozma,ネクロズマ,Psychic,,97,107,101,127,89,79,prism-armor,,,230,2.4,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/800.png,false,○
necrozma-dawn-wings,800,Necrozma-Dawn-Wings,ネクロズマ（あかつきのつばさ）,Psychic,Ghost,97,113,109,157,127,77,prism-armor,,,350,4.2,restricted,variant,necrozma,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10156.png,false,○
necrozma-dusk-mane,800,Necrozma-Dusk-Mane,ネクロズマ（たそがれのたてがみ）,Psychic,Steel,97,157,127,113,109,77,prism-armor,,,460,3.8,restricted,variant,necrozma,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10155.png,false,○
magearna,801,Magearna,マギアナ,Steel,Fairy,80,95,115,130,115,65,soul-heart,,,80.5,1,mythical,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/801.png,false,○
grookey,810,Grookey,サルノリ,Grass,,50,65,50,40,40,65,overgrow,,grassy-surge,5,0.3,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/810.png,true,○
thwackey,811,Thwackey,バチンキー,Grass,,70,85,70,55,60,80,overgrow,,grassy-surge,14,0.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/811.png,true,○
rillaboom,812,Rillaboom,ゴリランダー,Grass,,100,125,90,60,70,85,overgrow,,grassy-surge,90,2.1,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/812.png,false,○
scorbunny,813,Scorbunny,ヒバニー,Fire,,50,71,40,40,40,69,blaze,,libero,4.5,0.3,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/813.png,true,○
raboot,814,Raboot,ラビフット,Fire,,65,86,60,55,60,94,blaze,,libero,9,0.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/814.png,true,○
cinderace,815,Cinderace,エースバーン,Fire,,80,116,75,65,75,119,blaze,,libero,33,1.4,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/815.png,false,○
sobble,816,Sobble,メッソン,Water,,50,40,40,70,40,70,torrent,,sniper,4,0.3,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/816.png,true,○
drizzile,817,Drizzile,ジメレオン,Water,,65,60,55,95,55,90,torrent,,sniper,11.5,0.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/817.png,true,○
inteleon,818,Inteleon,インテレオン,Water,,70,85,65,125,65,120,torrent,,sniper,45.2,1.9,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/818.png,false,○
skwovet,819,Skwovet,ホシガリス,Normal,,70,55,55,35,35,25,cheek-pouch,,gluttony,2.5,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/819.png,true,○
greedent,820,Greedent,ヨクバリス,Normal,,120,95,95,55,75,20,cheek-pouch,,gluttony,6,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/820.png,false,○
rookidee,821,Rookidee,ココガラ,Flying,,38,47,35,33,35,57,keen-eye,unnerve,big-pecks,1.8,0.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/821.png,true,○
corvisquire,822,Corvisquire,アオガラス,Flying,,68,67,55,43,55,77,keen-eye,unnerve,big-pecks,16,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/822.png,true,○
corviknight,823,Corviknight,アーマーガア,Flying,Steel,98,87,105,53,85,67,pressure,unnerve,mirror-armor,75,2.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/823.png,false,○
chewtle,833,Chewtle,カムカメ,Water,,50,64,50,38,38,44,strong-jaw,shell-armor,swift-swim,8.5,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/833.png,true,○
drednaw,834,Drednaw,カジリガメ,Water,Rock,90,115,90,48,68,74,strong-jaw,shell-armor,swift-swim,115.5,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/834.png,false,○
rolycoly,837,Rolycoly,タンドン,Rock,,30,40,50,40,50,30,steam-engine,heatproof,flash-fire,12,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/837.png,true,○
carkol,838,Carkol,トロッゴン,Rock,Fire,80,60,90,60,70,50,steam-engine,flame-body,flash-fire,78,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/838.png,true,○
coalossal,839,Coalossal,セキタンザン,Rock,Fire,110,80,120,80,90,30,steam-engine,flame-body,flash-fire,310.5,2.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/839.png,false,○
applin,840,Applin,カジッチュ,Grass,Dragon,40,40,80,40,40,20,ripen,gluttony,bulletproof,0.5,0.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/840.png,true,○
flapple,841,Flapple,アップリュー,Grass,Dragon,70,110,80,95,60,70,ripen,gluttony,hustle,1,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/841.png,false,○
appletun,842,Appletun,タルップル,Grass,Dragon,110,85,80,100,80,30,ripen,gluttony,thick-fat,13,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/842.png,false,○
silicobra,843,Silicobra,スナヘビ,Ground,,52,57,75,35,50,46,sand-spit,shed-skin,sand-veil,7.6,2.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/843.png,true,○
sandaconda,844,Sandaconda,サダイジャ,Ground,,72,107,125,65,70,71,sand-spit,shed-skin,sand-veil,65.5,3.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/844.png,false,○
cramorant,845,Cramorant,ウッウ,Flying,Water,70,85,55,85,95,85,gulp-missile,,,18,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/845.png,false,○
arrokuda,846,Arrokuda,サシカマス,Water,,41,63,40,40,30,66,swift-swim,,propeller-tail,1,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/846.png,true,○
barraskewda,847,Barraskewda,カマスジョー,Water,,61,123,60,60,50,136,swift-swim,,propeller-tail,30,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/847.png,false,○
toxel,848,Toxel,エレズン,Electric,Poison,40,38,35,54,35,40,rattled,static,klutz,11,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/848.png,true,○
toxtricity,849,Toxtricity,ストリンダー,Electric,Poison,75,98,70,114,70,75,punk-rock,plus,technician,40,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/849.png,false,○
sinistea,854,Sinistea,ヤバチャ,Ghost,,40,45,45,74,54,50,weak-armor,,cursed-body,0.2,0.1,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/854.png,true,○
polteageist,855,Polteageist,ポットデス,Ghost,,60,65,65,134,114,70,weak-armor,,cursed-body,0.4,0.2,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/855.png,false,○
hatenna,856,Hatenna,ミブリム,Psychic,,42,30,45,56,53,39,healer,anticipation,magic-bounce,3.4,0.4,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/856.png,true,○
hattrem,857,Hattrem,テブリム,Psychic,,57,40,65,86,73,49,healer,anticipation,magic-bounce,4.8,0.6,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/857.png,true,○
hatterene,858,Hatterene,ブリムオン,Psychic,Fairy,57,90,95,136,103,29,healer,anticipation,magic-bounce,5.1,2.1,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/858.png,false,○
impidimp,859,Impidimp,ベロバー,Dark,Fairy,45,45,30,55,40,50,prankster,frisk,pickpocket,5.5,0.4,normal,base,,,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/859.png,true,○
morgrem,860,Morgrem,ギモー,Dark,Fairy,65,60,45,75,55,70,prankster,frisk,pickpocket,12.5,0.8,normal,base,,,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/860.png,true,○
