slug,num,name_en,name_ja,type,category,power,accuracy,pp,priority,target,short_desc_en,short_desc_ja,include
mirror-shot,429,Mirror Shot,ミラーショット,Steel,Special,65,85,10,0,normal,30% chance to lower the target's accuracy by 1.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
flash-cannon,430,Flash Cannon,ラスターカノン,Steel,Special,80,100,10,0,normal,10% chance to lower the target's Sp. Def by 1.,体の　光を　一点に　集めて 力を　放つ。 相手の　特防を　さげることが　ある。,○
rock-climb,431,Rock Climb,ロッククライム,Normal,Physical,90,85,20,0,normal,20% chance to confuse the target.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
defog,432,Defog,きりばらい,Flying,Status,,,15,0,normal,-1 evasion; ends user and target hazards/terrain.,強い風で　相手の　リフレクターや ひかりのかべ　などを　はらいのける。 回避率も　さげる。,○
trick-room,433,Trick Room,トリックルーム,Psychic,Status,,,5,-7,all,"Goes last. For 5 turns, turn order is reversed.",まか不思議な　空間を　つくる。 ５ターンの　間 遅い　ポケモンから　行動できる。,○
draco-meteor,434,Draco Meteor,りゅうせいぐん,Dragon,Special,130,90,5,0,normal,Lowers the user's Sp. Atk by 2.,天空から　隕石を 相手に　落とす。使うと　反動で 自分の　特攻が　がくっと　さがる。,○
discharge,435,Discharge,ほうでん,Electric,Special,80,100,15,0,allAdjacent,30% chance to paralyze adjacent Pokemon.,まばゆい　電撃で　自分の 周りに　いるものを　攻撃する。 まひ状態に　することが　ある。,○
lava-plume,436,Lava Plume,ふんえん,Fire,Special,80,100,15,0,allAdjacent,30% chance to burn adjacent Pokemon.,真っ赤な　炎で　自分の 周りに　いるものを　攻撃する。 やけど状態に　することが　ある。,○
leaf-storm,437,Leaf Storm,リーフストーム,Grass,Special,130,90,5,0,normal,Lowers the user's Sp. Atk by 2.,とがった　はっぱで　相手に　あらしを おこす。使うと　反動で 自分の　特攻が　がくっと　さがる。,○
power-whip,438,Power Whip,パワーウィップ,Grass,Physical,120,85,10,0,normal,No additional effect.,ツタや　触手を　激しく　ふるって 相手を　たたきつけ　攻撃する。,○
rock-wrecker,439,Rock Wrecker,がんせきほう,Rock,Physical,150,90,5,0,normal,User cannot move next turn.,巨大な　岩を 相手に　発射して　攻撃する。 次の　ターンは　動けなくなる。,○
cross-poison,440,Cross Poison,クロスポイズン,Poison,Physical,70,100,20,0,normal,High critical hit ratio. 10% chance to poison.,毒の　刃で　相手を　切り裂く。 毒状態に　することが　あり 急所にも　当たりやすい。,○
gunk-shot,441,Gunk Shot,ダストシュート,Poison,Physical,120,80,5,0,normal,30% chance to poison the target.,汚い　ゴミを 相手に　ぶつけて　攻撃する。 毒状態に　することが　ある。,○
iron-head,442,Iron Head,アイアンヘッド,Steel,Physical,80,100,15,0,normal,30% chance to make the target flinch.,鋼の　ような 硬い　頭で　攻撃する。 相手を　ひるませることが　ある。,○
magnet-bomb,443,Magnet Bomb,マグネットボム,Steel,Physical,60,,20,0,normal,This move does not check accuracy.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
stone-edge,444,Stone Edge,ストーンエッジ,Rock,Physical,100,80,5,0,normal,High critical hit ratio.,とがった　岩を 相手に　突き刺して　攻撃する。 急所に　当たりやすい。,○
captivate,445,Captivate,ゆうわく,Normal,Status,,100,20,0,allAdjacentFoes,Lowers the foe(s) Sp. Atk by 2 if opposite gender.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
stealth-rock,446,Stealth Rock,ステルスロック,Rock,Status,,,20,0,foeSide,Hurts foes on switch-in. Factors Rock weakness.,相手の　周りに　無数の　岩を 浮かべて　交代で　でてきた　相手の ポケモンに　ダメージを　与える。,○
grass-knot,447,Grass Knot,くさむすび,Grass,Special,,100,20,0,normal,More power the heavier the target.,草を　からませて　相手を 転ばせる。相手が　重いほど 威力が　あがる。,○
chatter,448,Chatter,おしゃべり,Flying,Special,65,100,20,0,any,100% chance to confuse the target.,とても　うるさい　おしゃべりの 音波で　相手を　攻撃する。 相手を　混乱させる。,○
judgment,449,Judgment,さばきのつぶて,Normal,Special,100,100,10,0,normal,Type varies based on the held Plate.,無数の　光弾を　相手に　放出する。 自分の　持つ　プレートに　より タイプが　変わる。,○
bug-bite,450,Bug Bite,むしくい,Bug,Physical,60,100,20,0,normal,User steals and eats the target's Berry.,かみついて　攻撃する。 相手が　きのみを　持っているとき 食べて　きのみの　効果を　受けられる。,○
charge-beam,451,Charge Beam,チャージビーム,Electric,Special,50,90,10,0,normal,70% chance to raise the user's Sp. Atk by 1.,電撃の　束を　相手に 発射する。電気を　ためて　自分の 特攻を　あげることが　ある。,○
wood-hammer,452,Wood Hammer,ウッドハンマー,Grass,Physical,120,100,15,0,normal,Has 33% recoil.,硬い　胴体を 相手に　たたきつけて　攻撃する。 自分も　かなり　ダメージを　受ける。,○
aqua-jet,453,Aqua Jet,アクアジェット,Water,Physical,40,100,20,1,normal,Usually goes first.,目にも　留まらぬ　ものすごい　速さで 相手に　つっこむ。 必ず　先制攻撃　できる。,○
attack-order,454,Attack Order,こうげきしれい,Bug,Physical,90,100,15,0,normal,High critical hit ratio.,しもべを　呼びだして 相手に　むかって　攻撃させる。 急所に　当たりやすい。,○
defend-order,455,Defend Order,ぼうぎょしれい,Bug,Status,,,10,0,self,Raises the user's Defense and Sp. Def by 1.,しもべを　呼びだして　自分の　体に おおい　つかせる。防御と　特防を あげることが　できる。,○
heal-order,456,Heal Order,かいふくしれい,Bug,Status,,,10,0,self,Heals the user by 50% of its max HP.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
head-smash,457,Head Smash,もろはのずつき,Rock,Physical,150,80,5,0,normal,Has 1/2 recoil.,命を　懸けて　こん身の　力で 相手に　ずつきを　する。　自分も ものすごい　ダメージを　受ける。,○
double-hit,458,Double Hit,ダブルアタック,Normal,Physical,35,90,10,0,normal,Hits 2 times in one turn.,しっぽなどを　使い 相手を　たたいて　攻撃する。 ２回連続で　ダメージを　与える。,○
roar-of-time,459,Roar of Time,ときのほうこう,Dragon,Special,150,90,5,0,normal,User cannot move next turn.,時間が　ゆがむほどの　力を うちだして　相手を　攻撃する。 次の　ターンは　動けなくなる。,○
spacial-rend,460,Spacial Rend,あくうせつだん,Dragon,Special,100,95,5,0,normal,High critical hit ratio.,周りの　空間ごと　相手を 引き裂き　ダメージを　与える。 急所に　当たりやすい。,○
lunar-dance,461,Lunar Dance,みかづきのまい,Psychic,Status,,,10,0,self,"User faints. Next hurt Pkmn is cured, max HP/PP.",自分は　ひんしに　なるが 控えから　でてくる　ポケモンの すべての　状態を　回復する。,○
crush-grip,462,Crush Grip,にぎりつぶす,Normal,Physical,,100,5,0,normal,More power the more HP the target has left.,すさまじい　力で　相手を　にぎりつぶす。 相手の　ＨＰが　残っているほど 威力が　あがる。,○
magma-storm,463,Magma Storm,マグマストーム,Fire,Special,100,75,5,0,normal,Traps and damages the target for 4-5 turns.,激しく　燃えたぎる　炎の　なかに ４ー５ターンの　間 相手を　閉じこめて　攻撃する。,○
dark-void,464,Dark Void,ダークホール,Dark,Status,,50,10,0,allAdjacentFoes,Darkrai: Causes the foe(s) to fall asleep.,暗黒の　世界に　ひきずり　落として 相手を　眠り状態に　する。,○
seed-flare,465,Seed Flare,シードフレア,Grass,Special,120,85,5,0,normal,40% chance to lower the target's Sp. Def by 2.,体の　中から　衝撃波を 発生させる。相手の　特防を がくっと　さげることが　ある。,○
ominous-wind,466,Ominous Wind,あやしいかぜ,Ghost,Special,60,100,5,0,normal,10% chance to raise all stats by 1 (not acc/eva).,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
shadow-force,467,Shadow Force,シャドーダイブ,Ghost,Physical,120,100,5,0,normal,Disappears turn 1. Hits turn 2. Breaks protection.,１ターン目で　姿を　消して ２ターン目に　相手を　攻撃する。 守っていても　攻撃は　当たる。,○
hone-claws,468,Hone Claws,つめとぎ,Dark,Status,,,15,0,self,Raises the user's Attack and accuracy by 1.,ツメを　磨いて　鋭く　する。 自分の　攻撃と 命中率を　あげる。,○
wide-guard,469,Wide Guard,ワイドガード,Rock,Status,,,10,3,allySide,Protects allies from multi-target moves this turn.,味方全員に　当たる　攻撃を １ターンの　間　防ぐ。,○
guard-split,470,Guard Split,ガードシェア,Psychic,Status,,,10,0,normal,Averages Defense and Sp. Def stats with target.,超能力で　自分と　相手の 防御と　特防を　たして 半分に　わける。,○
power-split,471,Power Split,パワーシェア,Psychic,Status,,,10,0,normal,Averages Attack and Sp. Atk stats with target.,超能力で　自分と　相手の 攻撃と　特攻を　たして 半分に　わける。,○
wonder-room,472,Wonder Room,ワンダールーム,Psychic,Status,,,10,0,all,"For 5 turns, all Defense and Sp. Def stats switch.",まか不思議な　空間を　つくる。 ５ターンのあいだ　すべてのポケモンの 防御と　特防が　入れ替わる。,○
psyshock,473,Psyshock,サイコショック,Psychic,Special,80,100,10,0,normal,"Damages target based on Defense, not Sp. Def.",不思議な　念波を　実体化して 相手を　攻撃する。 物理的な　ダメージを　与える。,○
venoshock,474,Venoshock,ベノムショック,Poison,Special,65,100,10,0,normal,Power doubles if the target is poisoned.,特殊な　毒液を　浴びせかける。 毒状態の　相手には 威力が　２倍に　なる。,○
autotomize,475,Autotomize,ボディパージ,Steel,Status,,,15,0,self,Raises the user's Speed by 2; user loses 100 kg.,体の　ムダな　部分を　削る。 自分の　素早さを　ぐーんと　あげて 体重も　軽くなる。,○
rage-powder,476,Rage Powder,いかりのこな,Bug,Status,,,20,2,self,The foes' moves target the user on the turn used.,イライラさせる　粉を　自分に ふりかけて　注意を　ひく。　相手の 攻撃を　すべて　自分に　むける。,○
telekinesis,477,Telekinesis,テレキネシス,Psychic,Status,,,15,0,normal,"For 3 turns, target floats but moves can't miss it.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
magic-room,478,Magic Room,マジックルーム,Psychic,Status,,,10,0,all,"For 5 turns, all held items have no effect.",まか不思議な　空間を　つくる。 ５ターンの間　すべてのポケモンの 道具の　効果が　なくなる。,○
smack-down,479,Smack Down,うちおとす,Rock,Physical,50,100,15,0,normal,Removes the target's Ground immunity.,石や　弾を　投げて　飛んでいる 相手を　攻撃する。　相手は うち落とされて　地面に　落ちる。,○
storm-throw,480,Storm Throw,やまあらし,Fighting,Physical,60,100,10,0,normal,Always results in a critical hit.,強烈な　一撃を 相手に　くりだす。攻撃は 必ず　急所に　当たる。,○
flame-burst,481,Flame Burst,はじけるほのお,Fire,Special,70,100,15,0,normal,Damages Pokemon next to the target as well.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
sludge-wave,482,Sludge Wave,ヘドロウェーブ,Poison,Special,95,100,10,0,allAdjacent,10% chance to poison adjacent Pokemon.,ヘドロの　波で　自分の 周りに　いるものを　攻撃する。 毒状態に　することが　ある。,○
quiver-dance,483,Quiver Dance,ちょうのまい,Bug,Status,,,20,0,self,"Raises the user's Sp. Atk, Sp. Def, Speed by 1.",神秘的で　美しい　舞を 軽やかに　おどる。　自分の　特攻と 特防と　素早さを　あげる。,○
heavy-slam,484,Heavy Slam,ヘビーボンバー,Steel,Physical,,100,10,0,normal,More power the heavier the user than the target.,重たい　体で　相手に　ぶつかって 攻撃する。　自分が　相手より 重いほど　威力が　あがる。,○
synchronoise,485,Synchronoise,シンクロノイズ,Psychic,Special,120,100,10,0,allAdjacent,Hits adjacent Pokemon sharing the user's type.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
electro-ball,486,Electro Ball,エレキボール,Electric,Special,,100,10,0,normal,More power the faster the user is than the target.,電気の　塊を　相手に ぶつける。相手より　素早さが 速いほど　威力が　あがる。,○
soak,487,Soak,みずびたし,Water,Status,,100,20,0,normal,Changes the target's type to Water.,たくさんの　水を　浴びせかけて 相手を　みずタイプに　する。,○
flame-charge,488,Flame Charge,ニトロチャージ,Fire,Physical,50,100,20,0,normal,100% chance to raise the user's Speed by 1.,炎を　まとい　相手を　攻撃する。 力を　ためて　自分の 素早さを　あげる。,○
coil,489,Coil,とぐろをまく,Poison,Status,,,20,0,self,"Raises user's Attack, Defense, accuracy by 1.",とぐろを　まいて　集中する。 自分の　攻撃と　防御と 命中率を　あげる。,○
low-sweep,490,Low Sweep,ローキック,Fighting,Physical,65,100,20,0,normal,100% chance to lower the target's Speed by 1.,素早い　動きで　相手の　足を ねらって　攻撃する。 相手の　素早さを　さげる。,○
acid-spray,491,Acid Spray,アシッドボム,Poison,Special,40,100,20,0,normal,100% chance to lower the target's Sp. Def by 2.,相手を　とかす　液体を 吐きだして　攻撃する。 相手の　特防を　がくっと　さげる。,○
foul-play,492,Foul Play,イカサマ,Dark,Physical,95,100,15,0,normal,Uses target's Attack stat in damage calculation.,相手の　力を　利用する。 戦っている　相手の　攻撃が 高いほど　ダメージが　あがる。,○
simple-beam,493,Simple Beam,シンプルビーム,Normal,Status,,100,15,0,normal,The target's Ability becomes Simple.,なぞの　念波を　相手に　送る。 念波を　受けとった　相手は 特性が　たんじゅんに　なる。,○
entrainment,494,Entrainment,なかまづくり,Normal,Status,,100,15,0,normal,The target's Ability changes to match the user's.,不思議な　リズムで　おどる。 動きを　まねさせて　自分と　相手の 特性を　同じに　する。,○
after-you,495,After You,おさきにどうぞ,Normal,Status,,,15,0,normal,The target makes its move right after the user.,相手の　行動を　サポートして 自分の　行動の　あとに 続けて　動けるように　する。,○
round,496,Round,りんしょう,Normal,Special,60,100,15,0,normal,Power doubles if others used Round this turn.,歌で　相手を　攻撃する。 みんなで　輪唱すると　続けて だすことが　でき　威力も　あがる。,○
echoed-voice,497,Echoed Voice,エコーボイス,Normal,Special,40,100,15,0,normal,Power increases when used on consecutive turns.,響く　声で　相手を　攻撃する。 毎ターン　だれかが　技を 使い続けると　威力が　あがる。,○
chip-away,498,Chip Away,なしくずし,Normal,Physical,70,100,20,0,normal,Ignores the target's stat stage changes.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
clear-smog,499,Clear Smog,クリアスモッグ,Poison,Special,50,,15,0,normal,Resets all of the target's stat stages to 0.,特殊な　泥の　塊を 相手に　投げつけて　攻撃する。 能力変化を　もとに　もどす。,○
stored-power,500,Stored Power,アシストパワー,Psychic,Special,20,100,10,0,normal,+ 20 power for each of the user's stat boosts.,蓄積された　パワーで　相手を 攻撃する。自分の　能力が あがっているほど　威力が　あがる。,○
quick-guard,501,Quick Guard,ファストガード,Fighting,Status,,,15,3,allySide,Protects allies from priority attacks this turn.,自分と　味方を　相手の 先制攻撃から　守る。,○
ally-switch,502,Ally Switch,サイドチェンジ,Psychic,Status,,,15,2,self,User and ally swap positions; using again can fail.,不思議な　力で　テレポートして 自分と　味方の　居場所を 入れ替える。,○
scald,503,Scald,ねっとう,Water,Special,80,100,15,0,normal,30% chance to burn the target. Thaws target.,熱く　煮えたぎる　水を 相手に　発射して　攻撃する。 やけど状態に　することが　ある。,○
shell-smash,504,Shell Smash,からをやぶる,Normal,Status,,,15,0,self,"Lowers Def, SpD by 1; raises Atk, SpA, Spe by 2.",殻を　やぶって　自分の　防御 特防を　さげるが　攻撃　特攻 素早さを　ぐーんと　あげる。,○
heal-pulse,505,Heal Pulse,いやしのはどう,Psychic,Status,,,10,0,any,Heals the target by 50% of its max HP.,いやしのはどうを　とばして 最大ＨＰの　半分 相手の　ＨＰを　回復する。,○
hex,506,Hex,たたりめ,Ghost,Special,65,100,10,0,normal,Power doubles if the target has a status ailment.,たたみかける　ように　攻撃する。 状態異常の　相手に 大きな　ダメージを　与える。,○
sky-drop,507,Sky Drop,フリーフォール,Flying,Physical,60,100,10,0,any,User and foe fly up turn 1. Damages on turn 2.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
shift-gear,508,Shift Gear,ギアチェンジ,Steel,Status,,,10,0,self,Raises the user's Speed by 2 and Attack by 1.,歯車を　回して 自分の　攻撃を　あげる　だけでなく 素早さも　ぐーんと　あげる。,○
circle-throw,509,Circle Throw,ともえなげ,Fighting,Physical,60,90,10,-6,normal,Forces the target to switch to a random ally.,相手を　投げとばして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,○
incinerate,510,Incinerate,やきつくす,Fire,Special,60,100,15,0,allAdjacentFoes,Destroys the foe(s) Berry/Gem.,炎で　相手を　攻撃する。 相手が　きのみなどを　持っているとき 燃やして　使えなくする。,○
quash,511,Quash,さきおくり,Dark,Status,,100,15,0,normal,Forces the target to move last this turn.,相手を　おさえつけて 行動の　順番を 最後に　する。,○
acrobatics,512,Acrobatics,アクロバット,Flying,Physical,55,100,15,0,any,Power doubles if the user has no held item.,軽やかに　相手を　攻撃する。 自分が　道具を　持っていないとき 大きな　ダメージを　与える。,○
reflect-type,513,Reflect Type,ミラータイプ,Normal,Status,,,15,0,normal,User becomes the same type as the target.,相手の　タイプを　反射して 自分も　同じ　タイプに　なる。,○
retaliate,514,Retaliate,かたきうち,Normal,Physical,70,100,5,0,normal,Power doubles if an ally fainted last turn.,倒れた　味方の　かたきを　討つ。 前の　ターンに　味方が 倒されていると　威力が　あがる。,○
final-gambit,515,Final Gambit,いのちがけ,Fighting,Special,,100,5,0,normal,Does damage equal to the user's HP. User faints.,命懸けで　相手を　攻撃する。 自分は　ひんしに　なるが　相手に ＨＰ分の　ダメージを　与える。,○
bestow,516,Bestow,ギフトパス,Normal,Status,,,15,0,normal,User passes its held item to the target.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
inferno,517,Inferno,れんごく,Fire,Special,100,50,5,0,normal,100% chance to burn the target.,激しい　炎で 相手を　包みこみ　攻撃する。 やけど状態に　する。,○
water-pledge,518,Water Pledge,みずのちかい,Water,Special,80,100,10,0,normal,Use with Grass or Fire Pledge for added effect.,水の柱で　攻撃する。 ほのおと　組みあわせると　威力が あがって　空に　にじが　かかる。,○
fire-pledge,519,Fire Pledge,ほのおのちかい,Fire,Special,80,100,10,0,normal,Use with Grass or Water Pledge for added effect.,炎の柱で　攻撃する。 くさと　組みあわせると　威力が あがって　周りが　火の海に　なる。,○
grass-pledge,520,Grass Pledge,くさのちかい,Grass,Special,80,100,10,0,normal,Use with Fire or Water Pledge for added effect.,草の柱で　攻撃する。 みずと　組みあわせると　威力が あがって　あたりが　湿原に　なる。,○
volt-switch,521,Volt Switch,ボルトチェンジ,Electric,Special,70,100,20,0,normal,User switches out after damaging the target.,攻撃したあと ものすごい　スピードで　もどってきて 控えポケモンと　入れ替わる。,○
struggle-bug,522,Struggle Bug,むしのていこう,Bug,Special,50,100,20,0,allAdjacentFoes,100% chance to lower the foe(s) Sp. Atk by 1.,抵抗して　相手を　攻撃する。 相手の　特攻を　さげる。,○
bulldoze,523,Bulldoze,じならし,Ground,Physical,60,100,20,0,allAdjacent,100% chance lower adjacent Pkmn Speed by 1.,地面を　踏みならして　自分の 周りに　いるものを　攻撃する。 相手の　素早さを　さげる。,○
frost-breath,524,Frost Breath,こおりのいぶき,Ice,Special,60,90,10,0,normal,Always results in a critical hit.,冷たい　息を 相手に　吹きつけて　攻撃する。 必ず　急所に　当たる。,○
dragon-tail,525,Dragon Tail,ドラゴンテール,Dragon,Physical,60,90,10,-6,normal,Forces the target to switch to a random ally.,相手を　はじきとばして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,○
work-up,526,Work Up,ふるいたてる,Normal,Status,,,30,0,self,Raises the user's Attack and Sp. Atk by 1.,自分を　奮いたてて 攻撃と　特攻を　あげる。,○
electroweb,527,Electroweb,エレキネット,Electric,Special,55,95,15,0,allAdjacentFoes,100% chance to lower the foe(s) Speed by 1.,電気の　ネットで 相手を　捕まえて　攻撃する。 相手の　素早さを　さげる。,○
wild-charge,528,Wild Charge,ワイルドボルト,Electric,Physical,90,100,15,0,normal,Has 1/4 recoil.,電気を　まとって 相手に　ぶつかって　攻撃する。 自分も　少し　ダメージを　受ける。,○
drill-run,529,Drill Run,ドリルライナー,Ground,Physical,80,95,10,0,normal,High critical hit ratio.,ドリルのように　体を　回転しながら 相手に　体当たりする。 急所に　当たりやすい。,○
dual-chop,530,Dual Chop,ダブルチョップ,Dragon,Physical,40,90,15,0,normal,Hits 2 times in one turn.,体の　硬い部分で　相手を たたいて　攻撃する。 ２回連続で　ダメージを　与える。,○
heart-stamp,531,Heart Stamp,ハートスタンプ,Psychic,Physical,60,100,25,0,normal,30% chance to make the target flinch.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
horn-leech,532,Horn Leech,ウッドホーン,Grass,Physical,75,100,10,0,normal,User recovers 50% of the damage dealt.,つのを　突き刺して　相手の　養分を 吸い取る。　与えた　ダメージの 半分の　ＨＰを　回復できる。,○
sacred-sword,533,Sacred Sword,せいなるつるぎ,Fighting,Physical,90,100,15,0,normal,Ignores the target's stat stage changes.,長い　つので　切りつけ　攻撃する。 相手の　能力変化に 関係なく　ダメージを　与える。,○
razor-shell,534,Razor Shell,シェルブレード,Water,Physical,75,95,10,0,normal,50% chance to lower the target's Defense by 1.,鋭い　貝殻で　切りつけて 攻撃する。　相手の　防御を さげることが　ある。,○
heat-crash,535,Heat Crash,ヒートスタンプ,Fire,Physical,,100,10,0,normal,More power the heavier the user than the target.,燃える　体で　相手に　ぶつかって 攻撃する。　自分が　相手より 重いほど　威力が　あがる。,○
leaf-tornado,536,Leaf Tornado,グラスミキサー,Grass,Special,65,90,10,0,normal,50% chance to lower the target's accuracy by 1.,鋭い　はっぱで　相手を 包みこんで　攻撃する。 命中率を　さげることが　ある。,○
steamroller,537,Steamroller,ハードローラー,Bug,Physical,65,100,20,0,normal,30% chance to make the target flinch.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
cotton-guard,538,Cotton Guard,コットンガード,Grass,Status,,,10,0,self,Raises the user's Defense by 3.,フワフワの　綿毛で　自分の 体を　包みこんで　守る。 防御を　ぐぐーんと　あげる。,○
night-daze,539,Night Daze,ナイトバースト,Dark,Special,85,95,10,0,normal,40% chance to lower the target's accuracy by 1.,暗黒の　衝撃波を とばして　相手を　攻撃する。 命中率を　さげることが　ある。,○
psystrike,540,Psystrike,サイコブレイク,Psychic,Special,100,100,10,0,normal,"Damages target based on Defense, not Sp. Def.",不思議な　念波を　実体化して 相手を　攻撃する。 物理的な　ダメージを　与える。,○
tail-slap,541,Tail Slap,スイープビンタ,Normal,Physical,25,85,10,0,normal,Hits 2-5 times in one turn.,硬い　しっぽで 相手を　たたいて　攻撃する。 ２ー５回の　間　連続で　だす。,○
hurricane,542,Hurricane,ぼうふう,Flying,Special,110,70,10,0,any,30% chance to confuse target. Can't miss in rain.,強烈な　風で　相手を 包みこんで　攻撃する。 相手を　混乱させることが　ある。,○
head-charge,543,Head Charge,アフロブレイク,Normal,Physical,120,100,15,0,normal,Has 1/4 recoil.,すごい　アフロの　頭で 相手に　突進して　攻撃する。 自分も　少し　ダメージを　受ける。,○
gear-grind,544,Gear Grind,ギアソーサー,Steel,Physical,50,85,15,0,normal,Hits 2 times in one turn.,鋼鉄の　ギアを　相手に 投げつけて　攻撃する。 ２回連続で　ダメージを　与える。,○
searing-shot,545,Searing Shot,かえんだん,Fire,Special,100,100,5,0,allAdjacent,30% chance to burn adjacent Pokemon.,真っ赤な　炎で　自分の 周りに　いるものを　攻撃する。 やけど状態に　することが　ある。,○
techno-blast,546,Techno Blast,テクノバスター,Normal,Special,120,100,5,0,normal,Type varies based on the held Drive.,光弾を　相手に　放出する。 自分の　持つ カセットにより　タイプが　変わる。,○
relic-song,547,Relic Song,いにしえのうた,Normal,Special,75,100,10,0,allAdjacentFoes,10% chance to sleep foe(s). Meloetta transforms.,いにしえのうたを　相手に　聞かせて 心に　うったえて　攻撃する。 眠り状態に　することが　ある。,○
secret-sword,548,Secret Sword,しんぴのつるぎ,Fighting,Special,85,100,10,0,normal,"Damages target based on Defense, not Sp. Def.",長い　つので　切りつけ　攻撃する。 つのが　まとった　不思議な　力は 物理的な　ダメージを　与える。,○
glaciate,549,Glaciate,こごえるせかい,Ice,Special,65,95,10,0,allAdjacentFoes,100% chance to lower the foe(s) Speed by 1.,凍えるような　冷気を 相手に　吹きつけて　攻撃する。 相手の　素早さを　さげる。,○
bolt-strike,550,Bolt Strike,らいげき,Electric,Physical,130,85,5,0,normal,20% chance to paralyze the target.,ぼうだいな　電気を　身に　まとって 相手に　突進して　攻撃する。 まひ状態に　することが　ある。,○
blue-flare,551,Blue Flare,あおいほのお,Fire,Special,130,85,5,0,normal,20% chance to burn the target.,美しくも　激しい　青い炎で 相手を　包みこんで　攻撃する。 やけど状態に　することが　ある。,○
fiery-dance,552,Fiery Dance,ほのおのまい,Fire,Special,80,100,10,0,normal,50% chance to raise the user's Sp. Atk by 1.,炎を　まとい　はばたいて　相手を 攻撃する。自分の　特攻が あがることが　ある。,○
freeze-shock,553,Freeze Shock,フリーズボルト,Ice,Physical,140,90,5,0,normal,Charges turn 1. Hits turn 2. 30% paralyze.,電気を　まとった　氷の　塊で ２ターン目に　相手を　たたきつける。 まひ状態に　することが　ある。,○
ice-burn,554,Ice Burn,コールドフレア,Ice,Special,140,90,5,0,normal,Charges turn 1. Hits turn 2. 30% burn.,すべてを　凍らせる　激しい　冷気で ２ターン目に　相手を　包みこむ。 やけど状態に　することが　ある。,○
snarl,555,Snarl,バークアウト,Dark,Special,55,95,15,0,allAdjacentFoes,100% chance to lower the foe(s) Sp. Atk by 1.,まくしたてる　ように　怒鳴りつけて 相手の　特攻を　さげる。,○
icicle-crash,556,Icicle Crash,つららおとし,Ice,Physical,85,90,10,0,normal,30% chance to make the target flinch.,大きな　氷柱を 激しく　ぶつけて　攻撃する。 相手を　ひるませることが　ある。,○
v-create,557,V-create,Ｖジェネレート,Fire,Physical,180,95,5,0,normal,"Lowers the user's Defense, Sp. Def, Speed by 1.",灼熱の　炎を　額から 発生させて　捨て身の　体当たり。 防御　特防　素早さが　さがる。,○
fusion-flare,558,Fusion Flare,クロスフレイム,Fire,Special,100,100,5,0,normal,Power doubles if used after Fusion Bolt this turn.,巨大な　炎を　たたきつける。 巨大な　雷の　影響を受け 技の　威力が　あがる。,○
fusion-bolt,559,Fusion Bolt,クロスサンダー,Electric,Physical,100,100,5,0,normal,Power doubles if used after Fusion Flare this turn.,巨大な　雷を　たたきつける。 巨大な　炎の　影響を受け 技の　威力が　あがる。,○
flying-press,560,Flying Press,フライングプレス,Fighting,Physical,100,95,10,0,any,Combines Flying in its type effectiveness.,空中から　相手に　ダイブする。 この技は　かくとうタイプと　同時に ひこうタイプでも　ある。,○
mat-block,561,Mat Block,たたみがえし,Fighting,Status,,,10,0,allySide,Protects allies from damaging attacks. Turn 1 only.,かえした　タタミを　盾にして　自分や 味方への　技の　ダメージを　防ぐ。 変化技は　防ぐことが　できない。,○
belch,562,Belch,ゲップ,Poison,Special,120,90,10,0,normal,Cannot be selected until the user eats a Berry.,相手に　向かって　ゲップを 浴びせて　ダメージを　与える。 きのみを　食べないと　だせない。,○
rototiller,563,Rototiller,たがやす,Ground,Status,,,10,0,all,Raises Atk/Sp. Atk of grounded Grass types by 1.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
sticky-web,564,Sticky Web,ねばねばネット,Bug,Status,,,20,0,foeSide,Lowers Speed of grounded foes by 1 on switch-in.,相手の　周りに　ねばねばした ネットを　はりめぐらせ　交代で でてきた　相手の　素早さを　さげる。,○
fell-stinger,565,Fell Stinger,とどめばり,Bug,Physical,50,100,25,0,normal,Raises user's Attack by 3 if this KOes the target.,この　技を　使って 相手を　倒すと 攻撃が　ぐぐーんと　あがる。,○
